device,tid,sid,group,id,address,read_address,address_mpxa,address_mpxd,address_width,address_taw,address_tbb,read_address_mpxa,read_address_mpxd,read_address_width,type,len,factor,offset,unit,signed,min,max,persistent,protect,volatile,since,until,description
battery,0x50,0x58,status,vCell12,,0x8c,,,,,,cellMon._channelAddr,cellMon._channelData,16,scalar,,0.001,,V,yes,,,,,yes,rev.sw count 96 rev.hw enum 60,,
battery,0x50,0x58,status,vCell13,,0x8d,,,,,,cellMon._channelAddr,cellMon._channelData,16,scalar,,0.001,,V,yes,,,,,yes,rev.sw count 96 rev.hw enum 60,,
battery,0x50,0x58,status,packTemperature1,,0x66,,,,,,,,,scalar,,,,C,yes,,,,,yes,rev.hw enum 60,,
battery,0x50,0x58,status,packTemperature2,,0x67,,,,,,,,,scalar,,,,C,yes,,,,,yes,rev.hw enum 60,,
battery,0x50,0x58,status,packTemperature3,,0x68,,,,,,,,,scalar,,,,C,yes,,,,,yes,rev.hw enum 60,,
battery,0x50,0x58,status,packTemperature4,,0x69,,,,,,,,,scalar,,,,C,yes,,,,,yes,rev.hw enum 60,,
battery,0x50,0x58,status,capsense,0xa204 0xa203,,bridges.i2cRegAddr,bridges.i2cRegData,,,,,,,count,,,,,,,,,,yes,rev.sw count 92 rev.hw enum 60,,.
battery,0x50,0x58,status,capsenseReference,0xa206 0xa205,,bridges.i2cRegAddr,bridges.i2cRegData,,,,,,,count,,,,,,,,,,yes,rev.sw count 92 rev.hw enum 60,,.
battery,0x50,0x58,status,estimatedSoc,,0x30,,,,,,,,,scalar,,,,%,,,,,,yes,,,Return an estimated value of SOC based on battery voltage. Only works with LiIon battery.
battery,0x50,0x58,status,_powerOnResetCount,,0x7D,,,,,,,,,count,,,,,,,,,,yes,rev.sw count 95,,Return how many time main microcontroller hardly reset.
battery,0x50,0x58,status,_watchDogResetCount,,0x9F,,,,,,,,,count,,,,,,,,,,yes,rev.sw count 95,,Return how many time watchdog reset trigged.
battery,0x50,0x58,cellMon,_channelAddr,0x6c,,,,,,,,,,count,,,,,,,,,,,rev.hw enum 60,,
battery,0x50,0x58,cellMon,_channelData,,0x6d 0x6e,,,,,,,,,count,,,,,,,,,,yes,rev.hw enum 60,,
battery,0x50,0x58,cellMon,_calibrationData,0x6f,,,,,,,,,,count,,,,,,,,,1,yes,rev.hw enum 60,rev.sw count 102,
battery,0x50,0x58,cellMon,_calibrationData,0x7c 0x6f,,,,,,,,,,count,,,,,,,,,1,yes,rev.hw enum 60 rev.sw count 103,,
